timestamp,demand
2017-10-25,14
2018-05-04,24
2019-06-30,62
2020-01-19,70
2018-05-26,52
2019-08-08,78
2018-01-13,30
2020-01-22,6
2017-03-27,53
2017-06-21,63
2017-07-12,31
2019-05-07,66
2017-07-29,15
2017-03-21,39
2018-07-30,32
2019-08-10,44
2018-10-06,2
2019-03-30,21
2018-08-17,59
2019-02-18,91
2017-12-23,100
2018-01-03,46
2020-01-30,52
2018-02-20,76
2020-01-20,89
2019-02-13,30
2019-05-01,52
2017-09-22,66
2018-06-05,54
2017-07-01,29
2017-09-05,38
2018-05-07,15
2018-09-12,22
2017-05-15,53
2018-12-03,47
2017-10-19,41
2017-07-17,88
2019-10-24,67
2017-05-19,23
2019-07-09,70
2019-01-27,28
2019-07-02,49
2017-05-01,20
2018-07-29,82
2017-09-20,22
2017-05-25,100
2019-05-19,89
2019-06-03,71
2019-01-23,1
2019-09-03,67
2020-01-16,62
2018-03-30,46
2017-10-30,45
2020-01-15,18
2019-03-02,49
2018-06-05,45
2018-10-03,80
2017-03-24,23
2019-06-26,11
2018-08-24,52
2019-09-16,68
2020-01-13,23
2019-01-04,100
2020-01-30,52
2017-11-15,62
2018-09-30,40
2019-01-05,33
2019-09-03,4
2017-10-10,71
2017-11-21,23
2017-05-21,15
2017-08-18,66
2020-01-05,90
2018-07-31,75
2019-01-13,37
2019-06-25,20
2019-07-30,41
2017-03-01,19
2019-03-04,75
2017-10-18,45
2019-11-14,35
2019-09-30,94
2018-04-07,86
2018-01-22,93
2019-07-19,44
2017-08-16,39
2018-01-14,53
2017-07-09,15
2017-06-08,100
2019-06-12,31
2018-12-19,36
2017-08-15,54
2018-01-13,16
2019-09-28,58
2019-03-13,48
2018-06-18,74
2017-06-16,33
2018-06-06,59
2017-05-03,63
2019-06-30,25
2019-11-25,82
2018-11-26,7
2018-10-28,43
2019-04-14,37
2018-12-17,97
2017-12-08,47
2018-06-24,73
2017-03-21,97
2018-10-16,20
2019-01-16,87
2019-04-15,18
2019-07-23,95
2017-09-11,17
2017-10-17,19
2018-04-25,84
2017-12-12,28
2018-05-11,25
2019-01-20,56
2020-02-12,42
2017-03-17,100
2018-07-10,17
2019-05-02,95
2019-02-08,23
2019-04-25,16
2017-07-11,14
2018-10-22,58
2018-08-24,29
2017-03-01,44
2018-08-08,40
2018-03-15,19
2018-06-16,20
2019-09-22,57
2018-08-01,77
2020-01-21,94
2018-10-01,41
2018-07-30,42
2019-01-25,44
2019-10-29,26
2018-09-19,33
2017-09-27,95
2019-11-21,55
2018-01-16,10
2019-05-06,75
2018-01-31,63
2019-04-03,54
2018-10-12,40
2018-11-28,18
2018-02-26,3
2018-11-02,49
2019-08-02,62
2018-05-18,96
2017-12-08,1
2018-07-26,71
2019-09-19,88
2018-06-10,27
2018-02-01,67
2018-05-17,46
2019-09-13,93
2019-05-31,4
2018-09-11,23
2017-04-13,26
2019-03-09,88
2018-02-18,42
2017-03-03,13
2018-12-30,14
2020-02-05,97
2017-05-27,93
2019-03-27,55
2020-02-01,82
2018-05-17,26
2017-05-23,5
2017-10-16,4
2019-12-19,81
2018-03-14,83
2017-11-19,8
2018-12-28,20
2019-08-25,51
2018-10-12,45
2017-10-30,15
2018-04-16,3
2018-06-15,72
2018-06-22,33
2018-03-17,27
2018-11-24,10
2018-07-31,25
2019-01-27,87
2017-08-25,60
2019-09-22,84
2018-10-27,7
2017-02-28,31
2018-09-11,60
2017-11-02,87
2018-05-10,8
2017-03-14,27
2020-01-27,56
2019-03-10,59
2017-10-07,9
2019-08-08,91
2018-06-22,97
2018-05-21,42
2017-06-24,4
2018-06-24,65
2018-06-20,74
2019-06-02,15
2018-02-11,68
2017-07-07,6
2019-06-27,4
2018-03-16,20
2019-10-14,61
2019-01-24,1
2019-05-31,3
2017-12-03,60
2018-04-20,49
2020-01-16,1
2017-05-10,95
2017-10-19,53
2018-04-02,42
2018-10-25,81
2019-09-12,1
2017-10-20,47
2019-02-08,14
2018-02-09,85
2018-12-05,5
2018-04-28,35
2019-11-27,92
2017-08-03,12
2017-04-25,69
2018-10-14,89
2018-11-28,20
2018-04-08,74
2018-02-19,54
2018-04-26,67
2018-04-21,26
2019-01-28,22
2018-08-03,26
2019-08-30,80
2018-06-07,61
2017-11-28,49
2017-06-13,92
2019-08-14,70
2018-08-10,4
2019-12-02,14
2017-06-04,37
2018-06-06,40
2018-07-21,18
2018-10-09,5
2017-05-29,9
2017-07-25,51
2019-12-14,91
2017-11-08,4
2018-03-26,79
2018-01-27,41
2018-06-05,86
2018-03-24,74
2017-06-05,18
2018-05-26,6
2019-10-07,71
2019-01-20,53
2018-12-19,51
2019-08-03,52
2018-09-25,36
2017-09-14,24
2017-03-17,7
2018-06-14,2
2018-03-15,99
2017-03-04,39
2018-10-04,38
2018-01-23,55
2018-09-28,12
2018-07-15,80
2018-06-25,68
2020-02-12,15
2018-07-29,17
2018-05-09,21
2019-04-02,52
2018-12-15,27
2019-07-12,16
2018-02-11,39
2020-02-12,63
2017-04-18,76
2019-07-20,93
2017-09-17,87
2018-01-17,34
2018-03-18,14
2017-09-10,45
2017-12-06,29
2019-01-27,79
2020-02-15,58
2019-01-04,33
2018-06-21,29
2020-01-24,62
2018-05-30,7
2018-02-08,55
2017-11-05,49
2020-02-09,9
2019-08-11,79
2017-04-08,64
2017-02-27,7
2018-02-02,20
2017-07-04,5
2018-09-10,5
2018-11-03,47
2019-02-25,41
2019-05-01,49
2018-11-29,52
2017-09-20,13
2018-04-27,53
2019-04-11,51
2018-01-01,86
2017-12-30,18
2018-04-27,24
2017-05-28,51
2019-08-06,12
2018-03-22,70
2017-04-12,6
2019-08-02,69
2018-06-25,61
2019-11-29,81
2018-11-12,94
2019-04-16,99
2019-11-23,24
2017-03-22,78
2019-01-29,100
2019-12-31,20
2017-12-24,81
2017-06-08,19
2017-11-16,61
2017-07-23,16
2018-06-21,61
2019-02-19,78
2019-12-26,64
2019-07-06,25
2018-06-17,31
2019-09-21,23
2019-08-13,81
2020-02-08,70
2018-02-19,97
2019-03-20,13
2018-03-07,68
2019-02-24,4
2017-06-03,36
2018-02-11,11
2018-07-02,20
2017-10-17,50
2018-02-03,47
2019-10-26,71
2019-03-29,17
2018-11-18,31
2020-01-29,16
2020-02-02,63
2017-10-18,99
2017-04-03,55
2018-10-06,27
2018-12-03,84
2019-01-11,29
2018-02-18,26
2017-08-17,20
2019-01-27,78
2019-06-08,9
2017-09-22,43
2018-10-09,52
2019-06-14,49
2019-02-19,24
2017-12-31,73
2017-04-11,52
2019-03-28,99
2017-09-23,74
2018-06-28,28
2018-05-05,32
2017-12-19,98
2018-09-24,30
2017-03-25,39
2017-12-28,14
2019-04-28,52
2019-04-18,12
2019-07-26,92
2019-06-29,32
2018-09-26,9
2017-08-19,36
2017-02-28,24
2018-09-06,52
2019-04-30,52
2018-06-21,24
2019-02-07,2
2018-08-28,55
2017-06-12,40
2018-03-02,13
2018-07-02,11
2018-05-12,44
2019-12-22,61
2017-06-05,82
2019-06-03,97
2019-09-16,47
2017-09-29,38
2019-12-27,25
2019-09-19,17
2017-12-23,90
2018-08-08,2
2019-02-08,81
2017-03-02,33
2018-07-05,23
2018-07-05,18
2017-09-28,52
2019-07-06,11
2018-06-28,32
2017-07-09,20
2017-03-13,54
2017-11-13,5
2017-05-05,44
2018-07-26,85
2017-03-05,90
2020-01-05,11
2018-03-28,46
2017-11-04,83
2017-12-10,23
2017-08-05,45
2018-04-19,21
2019-06-29,62
2018-02-23,45
2018-06-23,12
2019-02-14,97
2018-03-16,62
2018-11-15,67
2018-05-27,27
2017-09-19,61
2017-09-03,7
2017-10-16,89
2017-11-26,81
2019-12-11,30
2020-01-30,62
2019-04-29,13
2018-09-17,8
2019-07-18,35
2019-02-16,46
2019-04-13,60
2018-10-08,74
2020-01-21,39
2019-06-29,47
2017-10-04,94
2018-07-09,90
2018-02-06,28
2018-03-03,5
2018-03-27,40
2017-06-15,13
2020-02-15,59
2018-07-05,11
2019-06-21,51
2018-11-14,91
2018-08-15,43
2017-07-21,99
2018-11-13,75
2018-08-18,21
2017-12-21,94
2019-08-01,48
2018-11-28,5
2018-03-26,30
2019-11-03,52
2018-01-06,46
2017-09-03,6
2020-02-02,49
2018-08-23,94
2018-05-27,32
2018-07-30,62
2019-08-26,98
2017-07-14,16
2018-04-11,67
2019-09-17,42
2019-09-14,2
2018-07-26,92
2019-01-02,63
2019-08-19,12
2017-08-31,81
2018-08-27,48
2018-01-18,54
2019-06-29,55
2019-10-16,53
2018-05-26,80
2018-05-17,87
2019-04-26,35
2019-05-01,5
2017-03-10,57
2017-08-25,11
2018-06-02,14
2019-05-10,86
2018-12-24,4
2018-08-26,64
2019-08-13,59
2018-10-10,90
2019-12-29,42
2017-11-28,69
2017-11-12,45
2017-09-28,54
2019-07-07,91
2018-02-15,68
2019-10-01,18
2017-12-28,42
2017-03-10,77
2019-02-03,72
2017-07-23,73
2017-05-28,46
2018-11-04,89
2017-07-28,51
2018-10-06,31
2018-08-11,53
2018-03-14,56
2019-07-18,41
2019-06-14,45
2019-12-05,40
2020-02-14,29
2018-04-21,61
2017-08-24,51
2019-05-16,3
2018-12-09,78
2020-01-20,32
2017-04-09,74
2017-07-23,6
2019-06-13,41
2017-11-05,92
2017-07-10,68
2019-02-28,39
2017-04-19,62
2018-12-25,2
2019-11-26,44
2018-12-23,14
2017-05-16,46
2019-12-19,71
2018-03-18,82
2018-02-25,55
2018-07-11,41
2017-04-03,53
2017-04-28,52
2017-10-09,80
2018-07-17,85
2017-12-21,41
2017-03-14,43
2019-03-27,24
2018-09-22,25
2017-08-13,27
2018-08-30,32
2019-02-28,48
2018-06-16,8
2018-07-13,59
2018-04-08,17
2017-12-07,62
2018-03-17,80
2017-04-20,91
2019-01-31,95
2019-07-22,6
2017-11-12,100
2017-04-27,3
2019-02-20,60
2017-08-16,78
2017-04-22,56
2017-06-21,46
2019-08-29,14
2018-05-04,94
2018-07-17,75
2017-05-28,24
2017-05-01,71
2018-07-10,86
2019-10-26,98
2018-04-13,44
2017-03-13,56
2019-01-26,85
2019-01-31,21
2017-10-10,46
2018-02-23,54
2018-02-14,82
2018-04-24,66
2017-06-07,13
2018-09-30,17
2018-06-15,47
2018-03-05,75
2018-12-02,11
2018-01-31,22
2017-07-17,81
2018-06-11,52
2019-05-24,9
2018-12-24,6
2017-11-12,7
2018-06-03,78
2019-08-11,26
2017-09-14,46
2017-10-18,32
2019-06-20,82
2018-04-29,9
2019-12-15,58
2018-03-05,58
2018-08-28,83
2018-05-22,67
2020-01-09,78
2018-03-13,55
2017-04-15,94
2018-07-05,11
2018-08-12,5
2017-06-15,52
2018-01-30,57
2019-01-15,78
2018-10-01,24
2018-09-08,19
2018-03-23,43
2019-06-29,77
2018-06-03,21
2019-09-13,64
2017-12-04,33
2020-02-05,48
2020-01-07,5
2017-06-29,61
2017-09-25,7
2017-09-02,48
2019-06-13,58
2018-07-03,34
2018-07-17,70
2017-07-16,53
2018-12-23,8
2019-04-18,49
2019-04-11,63
2018-11-22,7
2017-10-17,37
2017-05-23,82
2020-01-01,47
2018-08-24,40
2018-01-19,48
2019-06-08,43
2017-11-05,32
2017-10-24,53
2018-06-17,99
2018-09-27,19
2019-06-20,26
2019-12-09,20
2019-12-28,22
2019-11-17,68
2019-08-22,23
2019-11-23,73
2019-03-22,66
2018-02-26,97
2019-03-30,88
2017-04-02,71
2017-11-22,32
2019-04-14,6
2019-03-06,38
2017-04-19,68
2019-01-08,83
2017-12-03,69
2019-02-15,70
2017-11-19,17
2017-10-11,87
2017-04-30,54
2018-06-20,91
2019-01-11,46
2017-06-04,28
2017-04-07,72
2018-04-22,89
2018-01-29,52
2018-12-29,13
2018-08-05,21
2017-10-13,41
2019-02-26,79
2020-01-28,57
2019-07-25,30
2017-10-06,48
2017-07-08,76
2017-06-02,93
2019-08-01,8
2020-01-21,85
2018-09-25,75
2018-08-16,22
2018-12-31,45
2018-10-09,14
2017-06-13,95
2017-12-27,97
2019-10-12,77
2019-04-17,21
2018-12-30,46
2020-01-08,29
2018-01-01,11
2017-07-10,82
2018-10-05,78
2018-07-21,34
2019-11-04,1
2017-06-01,71
2018-01-02,1
2019-11-13,9
2018-12-30,53
2019-08-18,87
2017-09-05,58
2017-12-31,64
2019-01-27,39
2017-09-14,72
2019-11-19,93
2017-05-20,21
2018-08-15,17
2017-04-13,50
2017-05-16,100
2018-04-16,85
2018-12-12,85
2017-12-27,54
2019-12-07,84
2019-08-16,8
2018-02-09,5
2018-12-26,97
2017-08-24,17
2019-01-25,11
2018-04-24,61
2018-08-03,32
2019-01-11,33
2017-10-19,6
2018-07-02,62
2019-12-07,17
2017-04-29,65
2017-08-16,2
2017-06-19,75
2017-03-26,14
2017-04-13,5
2018-12-15,90
2018-10-06,69
2018-06-22,78
2018-05-09,36
2019-03-14,67
2018-12-19,46
2017-08-30,44
2019-11-25,66
2018-08-15,71
2018-11-02,81
2018-08-01,94
2018-01-20,97
2018-12-14,97
2018-05-23,83
2019-10-21,96
2020-01-21,74
2018-01-16,28
2019-03-28,39
2017-07-20,7
2017-07-02,34
2018-04-18,27
2018-10-18,24
2018-10-30,30
2018-06-24,51
2018-02-11,8
2018-05-17,100
2019-12-24,67
2017-10-24,79
2018-07-16,51
2018-06-23,17
2017-08-16,32
2017-09-28,15
2017-06-12,40
2020-02-02,14
2018-07-19,25
2018-07-21,53
2018-02-13,32
2018-07-24,87
2018-07-16,16
2017-06-13,80
2017-03-03,89
2020-01-15,35
2019-06-10,58
